"Marca temporal","1.Género","2.Edad  ","3.¿De qué tipo de colegio egresaste como bachiller?  ","4.¿A qué facultad perteneces?  ","5.¿Qué carrera estudias?  ","6.¿En qué semestre te encuentras actualmente?  ","7.¿Cuántas materias cursas actualmente este semestre?  ","8.¿Cuál es tu Promedio Ponderado Acumulado (PPA) del último semestre cursado?  ","9.¿Cuántas horas a la semana estudias fuera de tu horario de clases?  ","10.¿Cuál es tu estatura aproximada? (metros)  ","11.¿Trabajas actualmente?  ","12.¿Cuál es la distancia aproximada desde tu vivienda hasta la UAGRM?  "," 13.Tiempo promedio de traslado desde su vivienda a la UAGRM  "
"2026/06/23 3:58:00 p.m. GMT-4","Masculino","23","Colegio de convenio","Facultad de Ciencias Contables, Auditoría, Sistemas de Control de Gestión y Finanzas","Contaduría Pública","9no semestre","3 a 4 materias","78","4","1.72","Sí, trabajo por cuenta propia/emprendimiento","Entre 2 y 5 km","8"
"2026/06/23 5:22:16 p.m. GMT-4","Femenino","19","Colegio fiscal/público","Facultad de Ingeniería en Ciencias de la Computación y Telecomunicaciones","Ig en sistemaa ","3er semestre","3 a 4 materias","70","4","1.60","Sí, trabajo medio tiempo","Entre 5 y 10 km","1 "
"2026/06/23 5:47:46 p.m. GMT-4","Femenino","18","Colegio fiscal/público","Facultad de Ciencias Exactas y Tecnología","Ing electromecánica ","3er semestre","5 a 6 materias","71","3","1.67","No trabajo actualmente","Menos de 1 km","15"
"2026/06/23 5:51:43 p.m. GMT-4","Masculino","28","Colegio privado","Facultad de Ciencias Exactas y Tecnología","Electrónica ","4to semestre","3 a 4 materias","60","4","1.69","Sí, trabajo por cuenta propia/emprendimiento","Entre 5 y 10 km","40 "
"2026/06/23 6:03:03 p.m. GMT-4","Binario ","56","Colegio privado","Facultad de Ciencias de la Salud Humana","Medicina ","5to semestre","1 a 2 materias","100","3 ","2.50","Sí, trabajo medio tiempo","Más de 50 km","4"
"2026/06/23 6:26:49 p.m. GMT-4","Femenino","20","Colegio fiscal/público","Facultad de Ciencias Contables, Auditoría, Sistemas de Control de Gestión y Finanzas","Contaduría pública ","5to semestre","7 o más materias","59","1","1,60","Sí, trabajo medio tiempo","Entre 25 y 30 km","2"
"2026/06/23 7:45:13 p.m. GMT-4","Femenino","21","Colegio fiscal/público","Facultad de Ciencias Contables, Auditoría, Sistemas de Control de Gestión y Finanzas","Contaduria publica ","8vo semestre","5 a 6 materias","78","2","150","Sí, trabajo por cuenta propia/emprendimiento","Entre 40 y 45 km","2"
"2026/06/23 9:41:58 p.m. GMT-4","Femenino","24","Colegio fiscal/público","Facultad de Ciencias Contables, Auditoría, Sistemas de Control de Gestión y Finanzas","Información y Control de Gestion","5to semestre","3 a 4 materias","89","20","1,68","Sí, trabajo medio tiempo","Más de 50 km","1"
"2026/06/23 9:53:21 p.m. GMT-4","Femenino","32","Colegio fiscal/público","Facultad de Ciencias Contables, Auditoría, Sistemas de Control de Gestión y Finanzas","Contaduria publica ","5to semestre","5 a 6 materias","75","5","1.58","Sí, trabajo medio tiempo","Entre 15 y 20 km","60"
"2026/06/23 10:00:27 p.m. GMT-4","Masculino","22","Colegio fiscal/público","Facultad de Ciencias Contables, Auditoría, Sistemas de Control de Gestión y Finanzas","Contaduría publica ","4to semestre","5 a 6 materias","55","3","1.81","Sí, trabajo por cuenta propia/emprendimiento","Entre 15 y 20 km","1.20"
"2026/06/23 10:11:51 p.m. GMT-4","Masculino","24","Colegio fiscal/público","Facultad de Ciencias Contables, Auditoría, Sistemas de Control de Gestión y Finanzas","Contaduría pública ","7mo semestre","5 a 6 materias","80","4","1.75","Sí, trabajo medio tiempo","Entre 10 y 15 km","45"
"2026/06/23 10:16:11 p.m. GMT-4","Masculino","21","Colegio fiscal/público","Facultad de Ciencias Contables, Auditoría, Sistemas de Control de Gestión y Finanzas","Contaduría publica ","6to semestre","3 a 4 materias","56","1","1.68","Sí, trabajo medio tiempo","Entre 2 y 5 km","1.5 "
"2026/06/23 10:33:14 p.m. GMT-4","Masculino","21","Colegio fiscal/público","Facultad de Ciencias Contables, Auditoría, Sistemas de Control de Gestión y Finanzas","Contaduría pública ","4to semestre","5 a 6 materias","87","30","1.74 cm","Sí, trabajo por cuenta propia/emprendimiento","Entre 10 y 15 km","1"
"2026/06/23 11:05:43 p.m. GMT-4","Femenino","24","Colegio fiscal/público","Facultad de Ciencias Contables, Auditoría, Sistemas de Control de Gestión y Finanzas","CONTADURIA PÚBLICA ","5to semestre","3 a 4 materias","42","5","1.59","No trabajo actualmente","Entre 40 y 45 km"," 40 "
"2026/06/24 8:04:58 a.m. GMT-4","Femenino","23","Colegio fiscal/público","Facultad de Ciencias Contables, Auditoría, Sistemas de Control de Gestión y Finanzas","Contaduría publica ","5to semestre","5 a 6 materias","74","4","1.58","No trabajo actualmente","Más de 50 km","1"
"2026/06/24 8:49:33 a.m. GMT-4","Femenino","27","Colegio de convenio","Facultad de Ciencias Contables, Auditoría, Sistemas de Control de Gestión y Finanzas","Contaduría publica ","5to semestre","5 a 6 materias","86","5","1.60","Sí, trabajo medio tiempo","Más de 50 km","1 "
"2026/06/24 9:48:02 a.m. GMT-4","Femenino","20","Colegio fiscal/público","Facultad de Ciencias Contables, Auditoría, Sistemas de Control de Gestión y Finanzas","Contaduría pública ","5to semestre","7 o más materias","81","4","1.56","Sí, trabajo por cuenta propia/emprendimiento","Menos de 1 km","1 "
"2026/06/24 10:11:46 a.m. GMT-4","Femenino","30","Colegio de convenio","Facultad de Ciencias Contables, Auditoría, Sistemas de Control de Gestión y Finanzas","CONTADURIA PUBLICA ","4to semestre","1 a 2 materias","50","9","165","Sí, trabajo tiempo completo","Más de 50 km","1 "
"2026/06/24 11:04:07 a.m. GMT-4","Femenino","20","Colegio fiscal/público","Facultad de Ciencias Contables, Auditoría, Sistemas de Control de Gestión y Finanzas","Contaduría pública ","5to semestre","7 o más materias","76","12 ","1.62","No trabajo actualmente","Entre 30 y 35 km","2 "
"2026/06/24 8:29:56 p.m. GMT-4","Femenino","19","Colegio fiscal/público","Facultad de Ciencias Contables, Auditoría, Sistemas de Control de Gestión y Finanzas","Contaduria publica","5to semestre","5 a 6 materias","😀","0","1.54","No trabajo actualmente","Entre 45 y 50 km","1 "
"2026/06/24 9:11:09 p.m. GMT-4","Masculino","23","Colegio de convenio","Facultad de Ciencias Exactas y Tecnología","Ingeniería en redes y telecomunicaciones ","2do semestre","7 o más materias","78","6","1.73","Sí, trabajo por cuenta propia/emprendimiento","Entre 5 y 10 km","1"
"2026/06/25 4:19:32 p.m. GMT-4","Femenino","20","Colegio privado","Facultad de Ciencias Económicas y Empresariales","Economía ","4to semestre","5 a 6 materias","88","2","1.61","Sí, trabajo medio tiempo","Entre 25 y 30 km","60"
"2026/06/25 11:04:01 p.m. GMT-4","Femenino","20","Colegio privado","Facultad de Ciencias Farmacéuticas y Bioquímicas","Bioquímica ","1er semestre","5 a 6 materias","No tengo idea","6","1.60","Sí, trabajo medio tiempo","Entre 15 y 20 km","1 "
"2026/06/25 11:05:28 p.m. GMT-4","Femenino","18","Colegio de convenio","Facultad de Ciencias Farmacéuticas y Bioquímicas","Bioquímica ","1er semestre","5 a 6 materias","No hay todavía ","5 ","1.70","No trabajo actualmente","Entre 2 y 5 km","1 "
"2026/06/25 11:05:46 p.m. GMT-4","Femenino","19","Colegio fiscal/público","Facultad de Ciencias Farmacéuticas y Bioquímicas","Bioquímica","1er semestre","5 a 6 materias","No se aun","1 ","1.58","No trabajo actualmente","Entre 5 y 10 km","15 "
"2026/06/25 11:05:56 p.m. GMT-4","Femenino","20","Colegio fiscal/público","Facultad de Ciencias Farmacéuticas y Bioquímicas","Farmacia ","3er semestre","3 a 4 materias","78","7","52","No trabajo actualmente","Más de 50 km","12"
"2026/06/25 11:06:48 p.m. GMT-4","Masculino","19","Colegio fiscal/público","Facultad de Ciencias Farmacéuticas y Bioquímicas","Bioq6","1er semestre","5 a 6 materias","Aún no sale","5","1.76","No trabajo actualmente","Entre 30 y 35 km","1"
"2026/06/25 11:07:40 p.m. GMT-4","Femenino","18","Colegio fiscal/público","Facultad de Ciencias Farmacéuticas y Bioquímicas","Bioquímica ","1er semestre","5 a 6 materias","No tengo todavía ya que no acabe todavía el semestre ","5","1.58","Sí, trabajo por cuenta propia/emprendimiento","Entre 40 y 45 km","2 "
"2026/06/25 11:09:05 p.m. GMT-4","Masculino","32","Colegio de convenio","Facultad de Ciencias Farmacéuticas y Bioquímicas","Bioquímica ","1er semestre","3 a 4 materias","5","2","1.70","Sí, trabajo por cuenta propia/emprendimiento","Entre 10 y 15 km","25 "
"2026/06/25 11:10:43 p.m. GMT-4","Masculino","20","Colegio fiscal/público","Facultad de Ciencias Farmacéuticas y Bioquímicas","Bioquímica ","1er semestre","3 a 4 materias","67","3","1.54","Sí, trabajo medio tiempo","Más de 50 km","1"
"2026/06/25 11:11:08 p.m. GMT-4","Femenino","24","Colegio fiscal/público","Facultad de Ciencias Farmacéuticas y Bioquímicas","Farmacia","3er semestre","5 a 6 materias","51","8","1.55","No trabajo actualmente","Entre 10 y 15 km","1 "
"2026/06/25 11:11:49 p.m. GMT-4","Femenino","18","Colegio fiscal/público","Facultad de Ciencias Farmacéuticas y Bioquímicas","Bioquímica ","1er semestre","5 a 6 materias","No lo sé, recién estoy en el primer semestre ","12 ","1.56","No trabajo actualmente","Entre 45 y 50 km","1"
"2026/06/25 11:12:33 p.m. GMT-4","Femenino","19","Colegio fiscal/público","Facultad de Ciencias Farmacéuticas y Bioquímicas","Bioquímica ","2do semestre","5 a 6 materias","60","15","1.62","No trabajo actualmente","Entre 25 y 30 km","45"
"2026/06/25 11:12:55 p.m. GMT-4","Femenino","36","Colegio de convenio","Facultad de Ciencias Farmacéuticas y Bioquímicas","Farmacia ","3er semestre","7 o más materias","89","1","1.70","No trabajo actualmente","Entre 20 y 25 km","60"
"2026/06/25 11:16:59 p.m. GMT-4","Femenino","18","Colegio fiscal/público","Facultad de Ciencias Farmacéuticas y Bioquímicas","BIOQUÍMICA ","1er semestre","5 a 6 materias","No tengo ahun","1","1.60","Sí, trabajo medio tiempo","Entre 10 y 15 km","1 "
"2026/06/25 11:20:11 p.m. GMT-4","Femenino","17","Colegio de convenio","Facultad de Ciencias Farmacéuticas y Bioquímicas","Bioquímica ","1er semestre","5 a 6 materias","No sé aun","3","1.59","No trabajo actualmente","Entre 5 y 10 km","1"
"2026/06/25 11:21:43 p.m. GMT-4","Femenino","19","Colegio de convenio","Facultad de Ciencias Farmacéuticas y Bioquímicas","Farmacia ","1er semestre","5 a 6 materias","78","6","1.52","No trabajo actualmente","Entre 10 y 15 km","10"
"2026/06/25 11:31:14 p.m. GMT-4","Femenino","20","Colegio privado","Facultad de Ciencias Farmacéuticas y Bioquímicas","bioquímica la mejor de todas y la más difícil 😝","3er semestre","3 a 4 materias","no se porque no me acuerdo ","1 ","1,61","Sí, trabajo por cuenta propia/emprendimiento","Entre 5 y 10 km","1 "
"2026/06/25 11:37:16 p.m. GMT-4","Masculino","18","Colegio fiscal/público","Facultad de Ciencias Farmacéuticas y Bioquímicas","Bioquímica ","1er semestre","5 a 6 materias","Es mi primer semestre ","2","1,64","Sí, trabajo medio tiempo","Entre 15 y 20 km","1"
"2026/06/25 11:41:43 p.m. GMT-4","Femenino","18","Colegio privado","Facultad de Ciencias Farmacéuticas y Bioquímicas","Bioquímica ","1er semestre","5 a 6 materias","60","1 ","1.62","Sí, trabajo medio tiempo","Entre 5 y 10 km","1 "
"2026/06/25 11:44:04 p.m. GMT-4","Femenino","19","Colegio fiscal/público","Facultad de Ciencias Farmacéuticas y Bioquímicas","Farmacia ","2do semestre","5 a 6 materias","No lo dire","2","1.65","No trabajo actualmente","Entre 15 y 20 km","3"
"2026/06/25 11:46:02 p.m. GMT-4","Femenino","19","Colegio fiscal/público","Facultad de Ciencias Farmacéuticas y Bioquímicas","Bioquímica ","1er semestre","5 a 6 materias","No sé, recién voy primer semestre ","1 ","1.77","Sí, trabajo medio tiempo","Entre 10 y 15 km","2"
